n	q10	q5	q2.5	q1
2	1.381	1.539	1.673	1.78
3	1.635	1.852	2.075	2.269
4	1.8	2.037	2.311	2.56
5	1.915	2.16	2.461	2.737
6	1.995	2.246	2.559	2.849
7	2.053	2.306	2.615	2.921
8	2.097	2.349	2.67	2.967
9	2.131	2.381	2.7	2.997
10	2.157	2.404	2.717	3.008
12	2.204	2.441	2.683	3.015
14	2.227	2.457	2.691	3.014
16	2.242	2.464	2.691	3.003
18	2.251	2.466	2.685	2.988
20	2.258	2.465	2.677	2.97
25	2.265	2.456	2.651	2.92
30	2.265	2.443	2.624	2.873
40	2.258	2.415	2.573	2.79
50	2.248	2.389	2.531	2.723
60	2.238	2.367	2.495	2.669
80	2.22	2.331	2.441	2.587
100	2.205	2.304	2.4	2.528
200	2.159	2.226	2.289	2.371
500	2.107	2.147	2.183	2.228
